iter	Passed	Remaining
0	1	120
1	2	113
2	4	129
3	4	115
4	5	111
5	6	107
6	7	104
7	8	101
8	9	97
9	10	95
10	11	93
11	12	92
12	13	92
13	14	91
14	15	90
15	16	88
16	17	86
17	19	87
18	20	86
19	21	86
20	22	85
21	23	83
22	24	82
23	25	81
24	26	80
25	28	80
26	29	80
27	30	78
28	31	77
29	32	75
30	33	75
31	34	73
32	35	72
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	42	66
39	43	65
40	44	63
41	44	61
42	46	61
43	47	61
44	49	60
45	50	59
46	52	59
47	53	58
48	54	56
49	55	55
50	56	54
51	57	53
52	59	52
53	60	51
54	61	50
55	62	49
56	64	48
57	65	47
58	66	46
59	67	45
60	68	43
61	69	42
62	71	41
63	72	40
64	73	39
65	74	38
66	75	37
67	76	35
68	77	34
69	77	33
70	78	32
71	79	30
72	80	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	22
79	86	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	91	14
86	92	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	99	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
