iter	RMSE
0	14.99519628
1	14.61968362
2	14.24319983
3	13.87661366
4	13.54645086
5	13.21986343
6	12.91835559
7	12.63762316
8	12.37328121
9	12.08374928
10	11.80814329
11	11.56325852
12	11.31783865
13	11.0601504
14	10.82088952
15	10.58709564
16	10.37361679
17	10.17883442
18	9.959322331
19	9.777776203
20	9.612726122
21	9.44059575
22	9.284691
23	9.123922323
24	8.96156213
25	8.808793964
26	8.660875795
27	8.533815355
28	8.39557699
29	8.271377785
30	8.167073231
31	8.065999355
32	7.952658682
33	7.851685625
34	7.741774259
35	7.644968899
36	7.54468196
37	7.464292419
38	7.372051975
39	7.300141759
40	7.218719674
41	7.140017196
42	7.060688417
43	6.993082762
44	6.930610044
45	6.874445252
46	6.814507167
47	6.761653831
48	6.701771112
49	6.651263031
50	6.595806513
51	6.540656558
52	6.493400582
53	6.447972657
54	6.412671106
55	6.368830981
56	6.326698189
57	6.294463968
58	6.255554694
59	6.223382208
60	6.190620328
61	6.158389823
62	6.127439708
63	6.098116059
64	6.070226359
65	6.038513099
66	6.01519413
67	5.993577224
68	5.969633447
69	5.947893324
70	5.914661141
71	5.891152267
72	5.87232764
73	5.849314162
74	5.825291946
75	5.804404241
76	5.785772375
77	5.769057717
78	5.747896724
79	5.729387855
80	5.711708026
81	5.694447778
82	5.677282172
83	5.663878191
84	5.645116227
85	5.632453454
86	5.61565688
87	5.605407128
88	5.592921119
89	5.578592151
90	5.565338283
91	5.554787515
92	5.537746088
93	5.524001932
94	5.511291986
95	5.500680302
96	5.488635455
97	5.478763823
98	5.466861426
99	5.456502633
100	5.446621359
101	5.438270783
102	5.426888488
103	5.41331876
104	5.403884962
105	5.391402608
106	5.382079314
107	5.374061917
108	5.367323892
109	5.355777791
110	5.348866328
111	5.341713753
112	5.335415128
113	5.324774516
114	5.316563421
115	5.308331935
116	5.302894552
117	5.296038228
118	5.287492743
119	5.282179928
120	5.272943555
121	5.268771473
122	5.263407705
123	5.256253533
124	5.249451956
125	5.244210494
126	5.240565418
127	5.232662683
128	5.226362666
129	5.222305645
130	5.213575732
131	5.209173112
132	5.198574684
133	5.194573393
134	5.18789631
135	5.183757075
136	5.177872417
137	5.174631229
138	5.164994268
139	5.162945211
140	5.158508174
141	5.149817187
142	5.146080905
143	5.142033985
144	5.138967418
145	5.131921948
146	5.126956111
147	5.11721212
148	5.11196343
149	5.105517633
150	5.099875352
151	5.096393508
152	5.090012505
153	5.08578237
154	5.081528229
155	5.07402992
156	5.070067555
157	5.065267386
158	5.062310207
159	5.057266312
160	5.054703337
161	5.05179065
162	5.046274464
163	5.042411092
164	5.038698546
165	5.036711358
166	5.031808355
167	5.027132812
168	5.021025191
169	5.017859899
170	5.009789733
171	5.005228022
172	5.002455143
173	4.99914949
174	4.997013945
175	4.991807346
176	4.987229165
177	4.983724679
178	4.979398824
179	4.972664642
180	4.967390344
181	4.959655971
182	4.949945158
183	4.939996252
184	4.934802418
185	4.930170084
186	4.926091256
187	4.924290105
188	4.919538337
189	4.91508099
190	4.911187334
191	4.908140933
192	4.904538877
193	4.898606992
194	4.893676699
195	4.889026247
196	4.88361715
197	4.877844979
198	4.874106639
199	4.870378346
200	4.86973583
201	4.865973083
202	4.860391623
203	4.855964035
204	4.852852642
205	4.850940526
206	4.846702936
207	4.844516281
208	4.835325811
209	4.831482042
210	4.824265607
211	4.820591512
212	4.813507927
213	4.80783607
214	4.804466393
215	4.799478882
216	4.79494136
217	4.792490285
218	4.790382344
219	4.78537632
220	4.780054895
221	4.775732307
222	4.772283569
223	4.767827331
224	4.76619031
225	4.765330031
226	4.758872919
227	4.757829302
228	4.753917553
229	4.746960413
230	4.739677811
231	4.734984347
232	4.726753947
233	4.725499499
234	4.720848423
235	4.7174994
236	4.714666459
237	4.711962341
238	4.710989452
239	4.71024228
240	4.708731111
241	4.706296355
242	4.705094417
243	4.701382666
244	4.697258731
245	4.693850771
246	4.693297452
247	4.687552979
248	4.684516761
249	4.682404606
250	4.679765821
251	4.673996638
252	4.67105793
253	4.66388015
254	4.659221891
255	4.656359329
256	4.652590565
257	4.649818236
258	4.642762868
259	4.64164374
260	4.638731472
261	4.636258846
262	4.632302782
263	4.630786487
264	4.630006968
265	4.62707742
266	4.622051721
267	4.620930482
268	4.613210927
269	4.612761418
270	4.607177192
