iter	Passed	Remaining
0	2	2009
1	4	2368
2	6	1999
3	11	2881
4	12	2561
5	14	2461
6	16	2386
7	18	2233
8	25	2812
9	29	2893
10	30	2744
11	31	2619
12	33	2508
13	39	2760
14	40	2685
15	42	2609
16	43	2524
17	45	2462
18	46	2393
19	47	2326
20	48	2274
21	50	2241
22	52	2210
23	53	2162
24	54	2114
25	55	2074
26	56	2043
27	57	2011
28	61	2064
29	65	2125
30	67	2121
31	69	2095
32	70	2070
33	71	2040
34	72	2010
35	74	1990
36	76	1982
37	77	1962
38	79	1966
39	80	1942
40	82	1921
41	83	1900
42	89	1994
43	90	1975
44	92	1956
45	93	1942
46	94	1923
47	96	1904
48	97	1893
49	99	1890
50	103	1929
51	105	1915
52	107	1926
53	109	1910
54	110	1896
55	111	1878
56	117	1946
57	119	1938
58	121	1933
59	122	1923
60	123	1907
61	125	1891
62	126	1877
63	131	1916
64	132	1908
65	134	1898
66	136	1897
67	137	1885
68	138	1873
69	139	1858
70	141	1845
71	144	1864
72	147	1868
73	149	1873
74	150	1861
75	152	1851
76	153	1840
77	154	1828
78	158	1848
79	160	1851
80	162	1848
81	166	1858
82	167	1848
83	168	1836
84	169	1824
85	172	1831
86	173	1823
87	175	1815
88	176	1807
89	177	1798
90	179	1792
91	180	1785
92	185	1805
93	186	1801
94	188	1793
95	189	1783
96	190	1776
97	192	1768
98	193	1759
99	194	1751
100	195	1741
101	197	1737
102	198	1730
103	199	1721
104	201	1713
105	202	1706
106	203	1698
107	204	1691
108	206	1687
109	207	1681
110	209	1677
111	211	1676
112	212	1671
113	214	1669
114	216	1662
115	217	1653
116	218	1645
117	219	1639
118	220	1633
119	221	1627
120	223	1626
121	226	1628
122	227	1625
123	231	1635
124	232	1628
125	233	1622
126	235	1616
127	236	1609
128	240	1621
129	241	1619
130	245	1629
131	248	1631
132	249	1627
133	253	1637
134	256	1641
135	258	1640
136	260	1638
137	261	1635
138	263	1629
139	263	1619
140	267	1626
141	269	1625
142	270	1620
143	273	1623
144	275	1625
145	278	1628
146	281	1634
147	284	1636
148	288	1647
149	290	1646
150	292	1642
151	294	1642
152	296	1641
153	297	1636
154	299	1632
155	302	1636
156	304	1632
157	305	1627
158	307	1627
159	310	1628
160	311	1624
161	313	1620
162	315	1617
163	316	1615
164	318	1611
165	321	1616
166	324	1616
167	325	1612
168	327	1608
169	328	1604
170	330	1600
171	331	1595
172	332	1589
173	333	1584
174	338	1595
175	339	1590
176	342	1592
177	345	1596
178	347	1593
179	348	1587
180	352	1593
181	354	1591
182	355	1587
183	361	1603
184	363	1602
185	365	1601
186	369	1606
187	372	1607
188	373	1604
189	376	1605
190	377	1601
191	381	1604
192	383	1604
193	385	1601
194	387	1601
195	390	1601
196	391	1596
197	392	1590
198	393	1585
199	397	1589
200	398	1584
201	400	1583
202	403	1585
203	405	1580
204	406	1576
205	407	1572
206	410	1574
207	412	1571
208	414	1569
209	419	1576
210	420	1571
211	421	1566
212	422	1560
213	425	1563
214	428	1563
215	429	1559
216	431	1555
217	433	1556
218	434	1550
219	436	1546
220	437	1540
221	438	1537
222	441	1537
223	443	1535
224	446	1539
225	448	1535
226	449	1530
227	450	1525
228	454	1530
229	456	1527
230	458	1524
231	459	1520
232	462	1523
233	464	1521
234	466	1519
235	469	1518
236	471	1517
237	473	1515
238	475	1513
239	476	1509
240	478	1505
241	482	1509
242	484	1508
243	486	1508
244	488	1506
245	490	1503
246	491	1499
247	493	1496
248	497	1499
249	499	1498
250	500	1494
251	502	1492
252	505	1492
253	506	1487
254	507	1483
255	511	1486
256	513	1483
257	514	1480
258	516	1477
259	517	1473
260	518	1469
261	520	1465
262	521	1461
263	524	1462
264	527	1464
265	530	1464
266	534	1466
267	535	1463
268	539	1466
269	541	1463
270	542	1459
271	545	1459
272	548	1461
273	553	1466
274	556	1466
275	559	1466
276	561	1464
277	567	1473
278	569	1470
279	570	1467
280	571	1463
281	573	1459
282	574	1455
283	575	1450
284	577	1447
285	578	1443
286	580	1441
287	581	1437
288	582	1432
289	583	1428
290	584	1424
291	585	1420
292	586	1416
293	587	1411
294	588	1407
295	595	1416
296	596	1412
297	598	1409
298	599	1404
299	600	1400
300	601	1395
301	602	1391
302	603	1387
303	608	1392
304	609	1388
305	610	1384
306	611	1380
307	612	1376
308	613	1371
309	614	1367
310	615	1362
311	616	1358
312	616	1354
313	617	1349
314	618	1345
315	620	1344
316	622	1341
317	623	1337
318	625	1334
319	626	1331
320	627	1327
321	628	1323
322	629	1319
323	630	1315
324	631	1311
325	632	1307
326	637	1312
327	639	1309
328	640	1306
329	642	1305
330	643	1301
331	644	1297
332	645	1292
333	646	1289
334	647	1285
335	651	1286
336	652	1284
337	654	1280
338	655	1277
339	656	1274
340	657	1270
341	658	1266
342	659	1262
343	659	1258
344	660	1254
345	661	1250
346	665	1251
347	667	1250
348	668	1247
349	670	1244
350	671	1242
351	672	1238
352	673	1234
353	674	1231
354	675	1228
355	677	1225
356	679	1223
357	680	1220
358	681	1217
359	683	1215
360	684	1211
361	685	1208
362	686	1204
363	687	1201
364	688	1198
365	689	1194
366	693	1195
367	695	1194
368	697	1191
369	698	1189
370	699	1186
371	700	1183
372	701	1179
373	702	1176
374	703	1172
375	707	1173
376	709	1171
377	710	1168
378	711	1166
379	712	1163
380	714	1161
381	716	1158
382	717	1155
383	718	1151
384	722	1154
385	724	1152
386	725	1149
387	728	1148
388	729	1146
389	730	1143
390	731	1139
391	732	1136
392	739	1141
393	741	1140
394	742	1137
395	743	1133
396	744	1130
397	745	1127
398	746	1123
399	746	1120
400	753	1125
401	757	1127
402	759	1125
403	760	1122
404	761	1119
405	766	1121
406	769	1121
407	771	1119
408	772	1115
409	773	1112
410	773	1109
411	774	1105
412	775	1102
413	776	1098
414	782	1103
415	784	1100
416	785	1098
417	786	1095
418	787	1091
419	788	1088
420	789	1085
421	789	1081
422	790	1078
423	791	1075
424	796	1077
425	797	1074
426	799	1072
427	800	1069
428	800	1066
429	801	1062
430	802	1059
431	803	1056
432	804	1053
433	805	1051
434	807	1048
435	809	1047
436	811	1045
437	812	1042
438	813	1039
439	815	1037
440	816	1035
441	818	1033
442	819	1030
443	820	1027
444	821	1024
445	825	1025
446	826	1022
447	830	1023
448	831	1020
449	832	1017
450	834	1015
451	835	1012
452	836	1009
453	839	1009
454	840	1007
